style,count
Folk,752
Parody,20
Death Metal,40
Medieval,8
Industrial,73
Hardcore,100
Post-Punk,8
Thrash,40
Romani,28
Theme,3
Noise,53
Punk,158
Psy-Trance,59
Electro,95
Minimal,109
Trance,26
Experimental,124
Black Metal,60
Folk Rock,35
Acoustic,44
Prog Rock,31
Lo-Fi,13
Schlager,38
Reggae,10
Reggae-Pop,4
Art Rock,19
,217
Grunge,20
Alternative Rock,92
New Wave,43
Pub Rock,2
Power Pop,19
Pop Punk,5
Breakbeat,20
Downtempo,31
Drum n Bass,14
Volksmusik,2
Ballad,254
Vocal,265
Pop Rock,208
Chanson,21
Brass Band,23
Gypsy Jazz,22
Hard Rock,95
Post-Modern,3
Avantgarde,16
Europop,214
Early,1
Synth-pop,19
Techno,235
Electric Blues,9
Dance-pop,9
Ambient,93
Soft Rock,16
Religious,14
Euro House,60
Classical,11
Heavy Metal,66
Classic Rock,63
Goth Rock,23
Glitch,8
Hip Hop,9
Metalcore,4
New Age,9
Country,3
Beat,2
Népzene,3
Glam,2
Symphonic Rock,12
Psychedelic Rock,13
Ragga HipHop,3
Nu Metal,14
Ragga,2
House,38
Pop Rap,11
Garage Rock,36
Abstract,53
Rhythmic Noise,2
Leftfield,3
IDM,35
Acid,10
Funk,24
Indie Rock,19
Contemporary Jazz,8
Modern,7
Opera,2
Melodic Hardcore,4
Educational,4
Happy Hardcore,2
Contemporary,12
Tango,3
Rock & Roll,32
Interview,1
Soul,12
Blues Rock,45
Future Jazz,8
Acid Jazz,6
Power Metal,7
Country Rock,7
Post Rock,16
Drone,7
EBM,26
Freestyle,3
Electroclash,1
Illbient,3
Power Electronics,7
Poetry,5
Salsa,8
Harmonica Blues,5
Ethno-pop,1
Grindcore,16
Dark Ambient,25
Soundtrack,11
Nursery Rhymes,10
Eurodance,8
Crust,2
Disco,13
Goa Trance,25
Celtic,1
Ska,6
Oi,18
Instrumental,8
Progressive House,63
Deep House,39
Gothic Metal,6
Brit Pop,4
Latin,3
RnB/Swing,15
Chicago Blues,4
Dixieland,5
Conscious,19
Rhythm & Blues,5
Trip Hop,8
Tech House,80
Stoner Rock,4
Emo,6
Darkwave,9
Doom Metal,13
Thug Rap,23
Gangsta,30
Bass Music,5
Crunk,7
Dub,8
Lounge,1
Dancehall,2
Euro-Disco,3
Jazzdance,3
Horrorcore,2
Southern Rock,3
Dub Techno,10
Jungle,4
Progressive Trance,10
Dubstep,5
Speedcore,1
Surf,4
Soul-Jazz,2
Easy Listening,12
Radioplay,4
Comedy,6
Hi NRG,1
Baroque,3
Rockabilly,5
Fusion,10
Romantic,4
Neofolk,5
Tribal,3
Ethereal,5
Electro House,4
Country Blues,1
Shoegaze,3
Musique Concrète,2
Breaks,3
Reggae Gospel,1
Folk Metal,2
Psychobilly,2
Education,2
Speech,2
Spoken Word,3
Big Beat,1
Pipe & Drum,1
Free Jazz,1
Jazz-Funk,3
Cut-up/DJ,2
Indie Pop,1
Chiptune,1
Jazz-Rock,8
Breakcore,2
Math Rock,1
Smooth Jazz,10
Therapy,1
Score,5
Bossa Nova,3
Latin Jazz,7
Neo-Romantic,2
Avant-garde Jazz,2
Bossanova,1
Afrobeat,1
Swing,4
Cool Jazz,4
Neo-Classical,5
Italodance,1
Speed Metal,2
Gospel,2
Novelty,1
African,1
Promotional,1
Renaissance,3
Flamenco,1
Arena Rock,1
Hardcore Hip-Hop,2
Rumba,4
Monolog,1
Free Improvisation,1
Musical,1
Funk Metal,1
Laïkó,1
Éntekhno,2
Modern Classical,1
Ragtime,1
Delta Blues,1
Jump Blues,1
Modern Electric Blues,1
Texas Blues,1
Boogie Woogie,1
Minimal Techno,2
Synthwave,1
Bounce,1
Big Band,2
Progressive Metal,1
Sound Poetry,1
Special Effects,1
Cubano,1
Afro-Cuban,1
Cha-Cha,1
Mambo,1
Samba,1
AOR,2
DJ Battle Tool,1
Viking Metal,1
Melodic Death Metal,1
