album_name,artist_names,album_id,artist_ids,label,format,genre,style,country,year,num_of_releases,have,want,avg_rating,ratings,last_sold,lowest,median,highest
Zavičaj,Zdravko Čolić,https://www.discogs.com/Zdravko-%C4%8Coli%C4%87-Zavi%C4%8Daj/master/316920,https://www.discogs.com/artist/471038-Zdravko-Čolić,--,--,Pop,Vocal;Ballad,--,2006,8,23,8,4.5/5,6,--,--,--,--
Firehouse - Rock The Nation,Kiss,https://www.discogs.com/Kiss-Firehouse-Rock-The-Nation/master/684092,https://www.discogs.com/artist/153073-Kiss,--,--,Rock,Classic Rock;Hard Rock,--,2007,8,188,39,3.82/5,28,--,--,--,--
Dawn Of The Serpent,Beastcraft,https://www.discogs.com/Beastcraft-Dawn-Of-The-Serpent/master/20170,https://www.discogs.com/artist/700820-Beastcraft,--,--,Rock,Black Metal,--,2006,8,321,144,4.3/5,30,--,--,--,--
Alkohol (Šljivovica & Champange),Goran Bregović,https://www.discogs.com/Goran-Bregovi%C4%87-Alkohol-%C5%A0ljivovica-Champange/master/222536,https://www.discogs.com/artist/192609-Goran-Bregović,--,--,"Jazz;Rock;Blues;Pop;Folk, World, & Country",Gypsy Jazz,--,2008,6,130,25,4.05/5,22,--,--,--,--
Idealno Loša,Ceca,https://www.discogs.com/Ceca-Idealno-Lo%C5%A1a/master/397583,https://www.discogs.com/artist/528815-Ceca,--,--,"Pop;Folk, World, & Country",Folk,--,2006,5,31,10,5.0/5,3,--,--,--,--
Sevdah Metal,Emir Hot,https://www.discogs.com/Emir-Hot-Sevdah-Metal/master/808965,https://www.discogs.com/artist/1632201-Emir-Hot,--,--,Rock,Prog Rock;Heavy Metal,--,2008,5,31,17,5.0/5,2,--,--,--,--
Lepo Se Provedi,Indira,https://www.discogs.com/Indira-Lepo-Se-Provedi/master/657296,https://www.discogs.com/artist/1788518-Indira-Radić,--,--,"Folk, World, & Country",Folk,--,2007,4,12,6,5.0/5,1,--,--,--,--
Ana Never,Ana Never,https://www.discogs.com/Ana-Never-Ana-Never/master/283510,https://www.discogs.com/artist/768314-Ana-Never,--,--,Rock,Instrumental;Post Rock,--,2006,4,40,14,4.28/5,7,--,--,--,--
Erotika,Oskar (6),https://www.discogs.com/Oskar-Erotika/master/676271,https://www.discogs.com/artist/1587597-Oskar-6,--,--,"Electronic;Hip Hop;Pop;Children's;Folk, World, & Country",Euro-Disco;Jazzdance;Pop Rap;Parody;Nursery Rhymes;Folk,--,2009,4,2,0,--/5,0,--,--,--,--
Apocal Ur-Chaos,Blasphererion,https://www.discogs.com/Blasphererion-Apocal-Ur-Chaos/master/389946,https://www.discogs.com/artist/2521931-Blasphererion,--,--,Rock,Black Metal;Death Metal,--,2009,4,1,1,--/5,0,--,--,--,--
Tribal Trance,SETI Project (2),https://www.discogs.com/SETI-Project-Tribal-Trance/master/263395,https://www.discogs.com/artist/1509720-SETI-Project-2,--,--,Electronic,Goa Trance,--,2009,4,56,20,4.31/5,19,--,--,--,--
Mesec Na Vratima,Kiki Lesendrić,https://www.discogs.com/Kiki-Lesendri%C4%87-Mesec-Na-Vratima/master/296949,https://www.discogs.com/artist/855610-Zoran-Lesendrić,--,--,Rock,Pop Rock,--,2008,4,10,3,4.0/5,1,--,--,--,--
Awakening Bodhisattva EP,PharaOm,https://www.discogs.com/PharaOm-Awakening-Bodhisattva-EP/master/210181,https://www.discogs.com/artist/1639803-PharaOm,--,--,Electronic,Goa Trance,--,2009,3,51,11,4.29/5,14,--,--,--,--
Millenium,Boban Marković Orkestar,https://www.discogs.com/Boban-Markovi%C4%87-Orkestar-Millenium/master/928418,https://www.discogs.com/artist/581735-Boban-Marković-Orkestar,--,--,"Folk, World, & Country",Brass Band;Folk,--,2000,3,14,5,5.0/5,3,--,--,--,--
Prozor,Bisera,https://www.discogs.com/Bisera-Prozor/master/627544,https://www.discogs.com/artist/878562-Bisera-Veletanlić,--,--,Pop,Chanson;Ballad;Schlager,--,2007,3,10,5,5.0/5,2,--,--,--,--
El Conquistadors,dreDDup,https://www.discogs.com/dreDDup-El-Conquistadors/master/275000,https://www.discogs.com/artist/892806-dreDDup,--,--,Electronic;Rock;Non-Music,Industrial,--,2009,3,23,11,3.0/5,2,--,--,--,--
Najlepše Balade - 17 Nezaboravnih Balada,Zdravko Čolić;Bijelo Dugme;Đorđe Balašević,https://www.discogs.com/Zdravko-%C4%8Coli%C4%87-Bijelo-Dugme-%C4%90or%C4%91e-Bala%C5%A1evi%C4%87-Najlep%C5%A1e-Balade-17-Nezaboravnih-Balada/master/1219501,https://www.discogs.com/artist/471038-Zdravko-Čolić ; https://www.discogs.com/artist/488253-Bijelo-Dugme ; https://www.discogs.com/artist/471044-Đorđe-Balašević,--,--,Rock;Pop,Soft Rock;Ballad,--,2005,3,1,1,--/5,0,--,--,--,--
Outer Space Shaman EP,NK47,https://www.discogs.com/NK47-Outer-Space-Shaman-EP/master/210179,https://www.discogs.com/artist/1561360-NK47,--,--,Electronic,Goa Trance,--,2009,3,46,9,4.61/5,18,--,--,--,--
Godine Su Mnoge Prošle,Zvonko Bogdan;Tamburaški Orkestar Serbus,https://www.discogs.com/Zvonko-Bogdan-I-Tambura%C5%A1ki-Orkestar-Serbus-Godine-Su-Mnoge-Pro%C5%A1le/master/693419,https://www.discogs.com/artist/849594-Zvonko-Bogdan ; https://www.discogs.com/artist/2640355-Tamburaški-Orkestar-Serbus,--,--,"Pop;Folk, World, & Country",Folk,--,2008,3,3,0,5.0/5,1,--,--,--,--
Guča - Muzička Razglednica,Various,https://www.discogs.com/Various-Gu%C4%8Da-Muzi%C4%8Dka-Razglednica/master/661476,https://www.discogs.com/artist/Various?anv=,--,--,Brass & Military,Folk,--,2007,3,8,3,4.67/5,3,--,--,--,--
